epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,209.717,0.93778,1.95891,1.40082,0.51541,0.51529,0.48427,0.33815,1.01517,1.52602,1.47684,0.00332413,0.00332413,0.00332413
2,390.65,0.9122,1.27715,1.34107,0.4353,0.40056,0.38824,0.25836,1.16358,2.15252,1.68291,0.00659155,0.00659155,0.00659155
3,574.317,1.05364,1.48143,1.44986,0.22459,0.14369,0.08674,0.04467,1.78611,5.83023,2.64305,0.00979297,0.00979297,0.00979297
4,755.47,1.10195,1.57075,1.48848,0.47702,0.3962,0.37114,0.24376,1.20588,2.03988,1.74213,0.009703,0.009703,0.009703
5,936.365,1.02722,1.39404,1.43141,0.40541,0.24787,0.22264,0.13062,1.64658,2.52818,2.56612,0.009604,0.009604,0.009604
6,1117.59,0.97293,1.28547,1.39062,0.45457,0.35296,0.33767,0.22823,1.2114,2.21904,1.66189,0.009505,0.009505,0.009505
7,1298.28,0.9416,1.20629,1.36427,0.49817,0.44368,0.45104,0.31055,1.14881,1.72796,1.6613,0.009406,0.009406,0.009406
8,1479.14,0.91114,1.14,1.34106,0.57514,0.54421,0.54424,0.38901,1.01528,1.36491,1.47407,0.009307,0.009307,0.009307
9,1659.81,0.89683,1.09855,1.33085,0.67331,0.58607,0.62173,0.45736,0.92672,1.06997,1.39798,0.009208,0.009208,0.009208
10,1840.62,0.88041,1.05877,1.31699,0.6773,0.59047,0.62296,0.44702,0.95069,1.14602,1.4172,0.009109,0.009109,0.009109
11,2021.37,0.8637,1.02363,1.30469,0.71546,0.62749,0.65525,0.48661,0.89202,1.00106,1.34971,0.00901,0.00901,0.00901
12,2202.13,0.85239,0.99468,1.29996,0.72074,0.63524,0.65227,0.48429,0.89054,1.00521,1.36152,0.008911,0.008911,0.008911
13,2382.84,0.84258,0.97118,1.28663,0.66361,0.59252,0.61231,0.45315,0.92929,1.10711,1.3841,0.008812,0.008812,0.008812
14,2563.43,0.83123,0.94302,1.28063,0.73664,0.64543,0.68771,0.51662,0.86642,0.92651,1.32859,0.008713,0.008713,0.008713
15,2744.27,0.82211,0.92512,1.27233,0.70284,0.62839,0.65639,0.49819,0.86335,0.96943,1.32765,0.008614,0.008614,0.008614
16,2924.72,0.81643,0.90393,1.26844,0.75172,0.66188,0.70511,0.53426,0.83982,0.89126,1.3021,0.008515,0.008515,0.008515
17,3105.46,0.80334,0.89169,1.26215,0.76435,0.65663,0.68922,0.52658,0.83215,0.91273,1.30534,0.008416,0.008416,0.008416
18,3285.94,0.80074,0.87692,1.25707,0.76652,0.65438,0.69997,0.5356,0.83156,0.87924,1.28612,0.008317,0.008317,0.008317
19,3466.58,0.7923,0.86971,1.24888,0.77787,0.67896,0.70887,0.54441,0.81272,0.86921,1.27717,0.008218,0.008218,0.008218
